
"Legs · Day 5 · Week 43 · Upper/Lower PPL","2026-03-28 1:00 pm","1:37 hr"
"1. Deadlifts · Barbell · 8 reps"
#,KG,REPS
"1. Dual Leg Press · Machine · 8 reps"
#,KG,REPS
1,50,12
2,50,12
3,50,12
4,50,12
5,50,12
"2. Leg Extensions · Machine · 10 reps"
#,KG,REPS
1,30,10
2,30,10
3,30,10
"3. Deadlifts · Barbell · 10 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12

"Upper · Day 1 · Week 40 · Upper/Lower PPL","2026-01-18 3:33 pm","1:11 hr"
"1. Bench Press · Barbell · 8 reps"
#,KG,REPS
1,60,7
2,60,6
3,60,5
"2. Lat Pulldowns with Close Overhand Grip · Cable · 10 reps"
#,KG,REPS
1,40,12
2,40,10
3,40,10
"3. Shoulder Press · Machine · 10 reps"
#,KG,REPS
1,20,6
2,20,6
3,20,6
"4. Preacher Curls · Machine · 15 reps"
#,KG,REPS
1,15,15
2,15,12
3,15,10
"5. Overhead Triceps Extensions · Dumbbells · 15 reps"
#,KG,REPS
1,7.5,15
2,7.5,10
3,7.5,8

"Push · Standalone workout","2025-11-26 1:25 am","1:22 hr"
"1. Bench Press · Smith machine · 8 reps"
#,KG,REPS
1,40,12
2,40,12
3,40,12
"2. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,12.5,15
2,12.5,15
3,12.5,15
"3. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,10,10
2,10,10
3,10,10
"4. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,20,15
2,20,15
3,20,15

"Push · Standalone workout","2025-11-01 8:04 pm","58 min"
"1. Bench Press · Smith machine · 8 reps"
#,KG,REPS
1,50,10
2,50,10
3,50,7
"2. Standing Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,20,10
2,20,10
3,20,10
"3. Curls · Dumbbells · 10 reps"
#,KG,REPS
1,24,12
2,24,12
3,24,12
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,15,15
2,15,15
3,15,15

"Push · Standalone workout","2025-10-30 2:24 am","45 min"
"1. Bench Press · Smith machine · 8 reps"
#,KG,REPS
1,50,10
2,50,9
3,50,7
"2. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,8,12
2,8,12
3,8,10
"3. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,32,10
2,32,10
3,32,10
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,12.5,12
2,12.5,12
3,12.5,12

"Pull · Day 4 · Week 39 · Upper/Lower PPL","2025-10-28 2:00 am","31 min"
"1. One-Arm Rows · Dumbbells · 8 reps"
#,KG,REPS
1,18,15
2,20,10
3,20,10
"2. Face Pulls with Rope · Cable · 10 reps"
#,KG,REPS
1,17.5,10
2,17.5,10
3,17.5,10
"3. Curls · Dumbbells · 12 reps · 1 dropset"
#,KG,REPS
1,24,10
2,24,10
3,24,10

"Push · Day 3 · Week 39 · Upper/Lower PPL","2025-10-26 5:53 pm","1:16 hr"
"1. Bench Press · Smith machine · 8 reps"
#,KG,REPS
1,40,10
2,50,8
3,50,8
"2. Lateral Raises · Dumbbells · 10 reps"
#,KG,REPS
1,8,10
2,8,10
3,8,10
"3. Squats · Smith machine · 10 reps"
#,KG,REPS
1,20,10
2,20,10
3,20,10
"4. Incline Bench Press · Smith machine · 10 reps"
#,KG,REPS
1,20,10
2,20,10
3,40,5
"5. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,28,12
2,28,10
3,28,10
"6. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,10,20
2,10,16
3,10,16

"Upper · Standalone workout","2025-10-24 1:49 am","36 min"
"1. Bench Press · Smith machine · 8 reps · 2 dropsets"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"2. Face Pulls with Rope · Cable · 8 reps"
#,KG,REPS
1,15,15
2,15,12
3,15,12
"3. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,32,15
2,32,11
3,32,8
"4. Triceps Pushdowns · Cable · 15 reps"
#,KG,REPS
1,15,10
2,12.5,15
3,12.5,12

"Upper · Day 1 · Week 39 · Upper/Lower PPL","2025-09-15 12:33 am","40 min"
"1. Bench Press · Smith machine · 8 reps · 2 dropsets"
#,KG,REPS
1,40,10
2,40,10
3,40,10
"2. Cable high row · Machine · 10 reps"
#,KG,REPS
1,15,15
2,15,15
3,15,15
"3. Seated Shoulder Press · Dumbbells · 10 reps"
#,KG,REPS
1,28,15
2,32,10
3,32,10
"4. Face Pulls with Rope · Cable · 8 reps"
#,KG,REPS
1,15,15
